"ID","Player","Team","Position","Rk","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros%","+/-"
"*04zf3*","Jakobi Meyers","NE","WR","198","OAK","24","NO Sun 1:00PM","10","1YR","5.05","14","80%","-2.2%"
"*04chj*","Harrison Butker","KC","K","199","VA","26","LAC Sun 1:00PM","1","AUCT","5","12","99%","-0.5%"
"*05jdc*","Tyler Bass","BUF","K","200","FA","24","WAS Sun 1:00PM","1","WAVR","5","7","96%","-1.5%"
"*04cl7*","Younghoe Koo","ATL","K","201","FLU","27","@NYG Sun 1:00PM","2","AUCT","5","6","89%","-4.4%"
"*01d5o*","Ryan Succop","TB","K","202","CR","35","@LAR Sun 4:25PM","1","AUCT","5","9","84%","-3.4%"
"*001uu*","Mason Crosby","GB","K","203","FA","37","@SF Sun 8:20PM","1","WAVR","5","13","68%","-5.8%"
"*03msl*","Jason Myers","SEA","K","204","FA","30","@MIN Sun 4:25PM","1","WAVR","5","9","65%","-5.1%"
"*04cek*","Jamaal Williams","DET","RB","205","FLU","26","BAL Sun 1:00PM","7","AUCT","4.95","9","94%","-1.1%"
"*04cdk*","Kenny Golladay","NYG","WR","206","VA","27","ATL Sun 1:00PM","26","1YR","4.8","10","97%","-0.7%"
"*05rlk*","Jaylen Waddle","MIA","WR","207","YON","22","@LV Sun 4:05PM","10","ROOK","4.8","14","95%","-0.6%"
"*025ih*","Mark Ingram","HOU","RB","208","YON","31","CAR 24<br/>@HOU 9 F","1","WAVR","4.75","10","74%","-0.8%"
"*04czd*","Blake Jarwin","DAL","TE","209","FA","27","PHI Mon 8:15PM","1","WAVR","4.7","7","39%","-1.3%"
"*04oih*","Russell Gage","ATL","WR","210","FA","25","@NYG Sun 1:00PM","1","WAVR","4.55","6","63%","-5.7%"
